;<hmm name>;;;
#=ID;IF4E;(Pfam);IF4E_LIG_0-0;(PLoS_CB_2010)
#=ID;IF4E;(Pfam);IF4E_LIG_0-1;(PLoS_CB_2010)
#=ID;IF4E;(Pfam);IF4E_LIG_0-22;(PLoS_CB_2010)
#=ID;Dynein_light;(Pfam);Dynein_light_LIG_0-23;(PLoS_CB_2010)
#=ID;Dynein_light;(Pfam);Dynein_light_LIG_0-0;(PLoS_CB_2010)
#=ID;Dynein_light;(Pfam);Dynein_light_LIG_0-31;(PLoS_CB_2010)
#=ID;Dynein_light;(Pfam);Dynein_light_LIG_0-11;(PLoS_CB_2010)
#=ID;Dynein_light;(Pfam);Dynein_light_LIG_0-8;(PLoS_CB_2010)
#=ID;Dynein_light;(Pfam);Dynein_light_LIG_0-6;(PLoS_CB_2010)
#=ID;Dynein_light;(Pfam);Dynein_light_LIG_0-14;(PLoS_CB_2010)
#=ID;Focal_AT;(Pfam);Focal_AT_LIG_0-0;(PLoS_CB_2010)
#=ID;Focal_AT;(Pfam);Focal_AT_LIG_0-1;(PLoS_CB_2010)
#=ID;Focal_AT;(Pfam);Focal_AT_LIG_0-2;(PLoS_CB_2010)
#=ID;Focal_AT;(Pfam);Focal_AT_LIG_1-0;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-7;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-0;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-6;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-2;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-13;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-4;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-37;(PLoS_CB_2010)
#=ID;PCNA_C;(Pfam);PCNA_C_LIG_0-29;(PLoS_CB_2010)
#=ID;Profilin;(Pfam);Profilin_LIG_0-0;(PLoS_CB_2010)
#=ID;Profilin;(Pfam);Profilin_LIG_0-1;(PLoS_CB_2010)
#=ID;Chromo;(Pfam);Chromo_LIG_2-0;(PLoS_CB_2010)
#=ID;Chromo;(Pfam);Chromo_LIG_2-6;(PLoS_CB_2010)
#=ID;Chromo;(Pfam);Chromo_LIG_2-17;(PLoS_CB_2010)
#=ID;Chromo;(Pfam);Chromo_LIG_2-9;(PLoS_CB_2010)
#=ID;Chromo;(Pfam);Chromo_LIG_2-1;(PLoS_CB_2010)
#=ID;Chromo;(Pfam);Chromo_LIG_2-7;(PLoS_CB_2010)
#=ID;Chromo;(Pfam);Chromo_LIG_2-13;(PLoS_CB_2010)
#=ID;Chromo;(Pfam);Chromo_LIG_2-14;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_1-0;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_1-2;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_1-73;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_1-7;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_1-6;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_1-37;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_1-3;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_1-9;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_1-25;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_1-35;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_1-16;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_1-23;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_1-10;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_1-4;(PLoS_CB_2010)
#=ID;MBT;(Pfam);MBT_LIG_0-0;(PLoS_CB_2010)
#=ID;MBT;(Pfam);MBT_LIG_0-14;(PLoS_CB_2010)
#=ID;MBT;(Pfam);MBT_LIG_0-2;(PLoS_CB_2010)
#=ID;BRCT;(Pfam);BRCT_LIG_0-0;(PLoS_CB_2010)
#=ID;BRCT;(Pfam);BRCT_LIG_0-7;(PLoS_CB_2010)
#=ID;Cullin;(Pfam);Cullin_LIG_0-38;(PLoS_CB_2010)
#=ID;Cullin;(Pfam);Cullin_LIG_0-8;(PLoS_CB_2010)
#=ID;Cullin;(Pfam);Cullin_LIG_0-0;(PLoS_CB_2010)
#=ID;Peptidase_C14;(Pfam);Peptidase_C14_LIG_1-0;(PLoS_CB_2010)
#=ID;PID;(Pfam);PID_LIG_2-0;(PLoS_CB_2010)
#=ID;PID;(Pfam);PID_LIG_2-78;(PLoS_CB_2010)
#=ID;PID;(Pfam);PID_LIG_2-1;(PLoS_CB_2010)
#=ID;PID;(Pfam);PID_LIG_2-86;(PLoS_CB_2010)
#=ID;BRCT;(Pfam);BRCT_LIG_1-0;(PLoS_CB_2010)
#=ID;Peptidase_C14;(Pfam);Peptidase_C14_LIG_4-1;(PLoS_CB_2010)
#=ID;Peptidase_C14;(Pfam);Peptidase_C14_LIG_4-9;(PLoS_CB_2010)
#=ID;Peptidase_C14;(Pfam);Peptidase_C14_LIG_4-11;(PLoS_CB_2010)
#=ID;Peptidase_C14;(Pfam);Peptidase_C14_LIG_4-10;(PLoS_CB_2010)
#=ID;Peptidase_C14;(Pfam);Peptidase_C14_LIG_4-0;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_2-0;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_2-2;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_2-1;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_2-4;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_2-13;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_2-1;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_2-7;(PLoS_CB_2010)
#=ID;FHA;(Pfam);FHA_LIG_0-1;(PLoS_CB_2010)
#=ID;FHA;(Pfam);FHA_LIG_0-0;(PLoS_CB_2010)
#=ID;FHA;(Pfam);FHA_LIG_0-6;(PLoS_CB_2010)
#=ID;FHA;(Pfam);FHA_LIG_0-7;(PLoS_CB_2010)
#=ID;FHA;(Pfam);FHA_LIG_0-4;(PLoS_CB_2010)
#=ID;FHA;(Pfam);FHA_LIG_0-2;(PLoS_CB_2010)
#=ID;BIR;(Pfam);BIR_LIG_0-0;(PLoS_CB_2010)
#=ID;BIR;(Pfam);BIR_LIG_0-3;(PLoS_CB_2010)
#=ID;BIR;(Pfam);BIR_LIG_0-4;(PLoS_CB_2010)
#=ID;Bcl-2;(Pfam);Bcl-2_LIG_2-2;(PLoS_CB_2010)
#=ID;Fibrinogen_C;(Pfam);Fibrinogen_C_LIG_0-0;(PLoS_CB_2010)
#=ID;PHD;(Pfam);PHD_LIG_0-0;(PLoS_CB_2010)
#=ID;PHD;(Pfam);PHD_LIG_0-10;(PLoS_CB_2010)
#=ID;PHD;(Pfam);PHD_LIG_0-1;(PLoS_CB_2010)
#=ID;PHD;(Pfam);PHD_LIG_0-2;(PLoS_CB_2010)
#=ID;PHD;(Pfam);PHD_LIG_0-22;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-0;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-25;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-1;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-13;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-48;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-7;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-54;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-4;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-47;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-2;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-21;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-44;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-9;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-11;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-19;(PLoS_CB_2010)
#=ID;Arm;(Pfam);Arm_LIG_0-3;(PLoS_CB_2010)
#=ID;Asp;(Pfam);Asp_LIG_2-0;(PLoS_CB_2010)
#=ID;Cyclin_N;(Pfam);Cyclin_N_LIG_0-0;(PLoS_CB_2010)
#=ID;Cyclin_N;(Pfam);Cyclin_N_LIG_0-1;(PLoS_CB_2010)
#=ID;Cyclin_N;(Pfam);Cyclin_N_LIG_0-13;(PLoS_CB_2010)
#=ID;TRF;(Pfam);TRF_LIG_0-2;(PLoS_CB_2010)
#=ID;UCR_14kD;(Pfam);UCR_14kD_LIG_0-0;(PLoS_CB_2010)
#=ID;UCR_14kD;(Pfam);UCR_14kD_LIG_0-21;(PLoS_CB_2010)
#=ID;Tyr-DNA_phospho;(Pfam);Tyr-DNA_phospho_LIG_0-0;(PLoS_CB_2010)
#=ID;Pkinase_Tyr;(Pfam);Pkinase_Tyr_LIG_2-0;(PLoS_CB_2010)
#=ID;Pkinase_Tyr;(Pfam);Pkinase_Tyr_LIG_2-2;(PLoS_CB_2010)
#=ID;Proteasome_A_N;(Pfam);Proteasome_A_N_LIG_0-3;(PLoS_CB_2010)
#=ID;Filamin;(Pfam);Filamin_LIG_0-0;(PLoS_CB_2010)
#=ID;Pro_isomerase;(Pfam);Pro_isomerase_LIG_0-0;(PLoS_CB_2010)
#=ID;SH2;(Pfam);SH2_LIG_0-10;(PLoS_CB_2010)
#=ID;SH2;(Pfam);SH2_LIG_0-3;(PLoS_CB_2010)
#=ID;SH2;(Pfam);SH2_LIG_0-4;(PLoS_CB_2010)
#=ID;SH2;(Pfam);SH2_LIG_0-13;(PLoS_CB_2010)
#=ID;SH2;(Pfam);SH2_LIG_0-9;(PLoS_CB_2010)
#=ID;SH2;(Pfam);SH2_LIG_0-8;(PLoS_CB_2010)
#=ID;SET;(Pfam);SET_LIG_0-3;(PLoS_CB_2010)
#=ID;SH2;(Pfam);SH2_LIG_1-0;(PLoS_CB_2010)
#=ID;SH2;(Pfam);SH2_LIG_1-3;(PLoS_CB_2010)
#=ID;Pkinase;(Pfam);Pkinase_LIG_3-1;(PLoS_CB_2010)
#=ID;Pkinase;(Pfam);Pkinase_LIG_3-2;(PLoS_CB_2010)
#=ID;Pkinase;(Pfam);Pkinase_LIG_3-7;(PLoS_CB_2010)
#=ID;Trypsin;(Pfam);Trypsin_LIG_5-0;(PLoS_CB_2010)
#=ID;SIR2;(Pfam);SIR2_LIG_0-0;(PLoS_CB_2010)
#=ID;Trypsin;(Pfam);Trypsin_LIG_11-0;(PLoS_CB_2010)
#=ID;Trypsin;(Pfam);Trypsin_LIG_11-10;(PLoS_CB_2010)
#=ID;WW;(Pfam);WW_LIG_0-0;(PLoS_CB_2010)
#=ID;WW;(Pfam);WW_LIG_0-12;(PLoS_CB_2010)
#=ID;WW;(Pfam);WW_LIG_0-178;(PLoS_CB_2010)
#=ID;WW;(Pfam);WW_LIG_0-10;(PLoS_CB_2010)
#=ID;SH3_1;(Pfam);SH3_1_LIG_0-0;(PLoS_CB_2010)
#=ID;SH3_1;(Pfam);SH3_1_LIG_0-14;(PLoS_CB_2010)
#=ID;SH3_1;(Pfam);SH3_1_LIG_0-33;(PLoS_CB_2010)
#=ID;SH3_1;(Pfam);SH3_1_LIG_0-8;(PLoS_CB_2010)
#=ID;TPR_1;(Pfam);TPR_1_LIG_0-1;(PLoS_CB_2010)
#=ID;TPR_1;(Pfam);TPR_1_LIG_0-5;(PLoS_CB_2010)
#=ID;VHS;(Pfam);VHS_LIG_0-0;(PLoS_CB_2010)
#=ID;VHS;(Pfam);VHS_LIG_0-9;(PLoS_CB_2010)
#=ID;V-set;(Pfam);V-set_LIG_15-0;(PLoS_CB_2010)
#=ID;V-set;(Pfam);V-set_LIG_15-2;(PLoS_CB_2010)
#=ID;V-set;(Pfam);V-set_LIG_15-1;(PLoS_CB_2010)
#=ID;V-set;(Pfam);V-set_LIG_15-4;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_6-0;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_6-5;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_6-2;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_6-1;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_6-11;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_6-3;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_6-22;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_6-23;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_6-18;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_6-17;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_6-8;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_6-14;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_6-26;(PLoS_CB_2010)
#=ID;Acetyltransf_1;(Pfam);Acetyltransf_1_LIG_4-0;(PLoS_CB_2010)
#=ID;Acetyltransf_1;(Pfam);Acetyltransf_1_LIG_4-2;(PLoS_CB_2010)
#=ID;Acetyltransf_1;(Pfam);Acetyltransf_1_LIG_4-1;(PLoS_CB_2010)
#=ID;Amino_oxidase;(Pfam);Amino_oxidase_LIG_0-0;(PLoS_CB_2010)
#=ID;Amino_oxidase;(Pfam);Amino_oxidase_LIG_0-1;(PLoS_CB_2010)
#=ID;Amino_oxidase;(Pfam);Amino_oxidase_LIG_0-11;(PLoS_CB_2010)
#=ID;Dpy-30;(Pfam);Dpy-30_LIG_0-0;(PLoS_CB_2010)
#=ID;AXH;(Pfam);AXH_LIG_0-0;(PLoS_CB_2010)
#=ID;AXH;(Pfam);AXH_LIG_0-1;(PLoS_CB_2010)
#=ID;AXH;(Pfam);AXH_LIG_0-3;(PLoS_CB_2010)
#=ID;AXH;(Pfam);AXH_LIG_0-2;(PLoS_CB_2010)
#=ID;CbiA;(Pfam);CbiA_LIG_0-0;(PLoS_CB_2010)
#=ID;CiPC;(Pfam);CiPC_LIG_1-1;(PLoS_CB_2010)
#=ID;CiPC;(Pfam);CiPC_LIG_1-0;(PLoS_CB_2010)
#=ID;CiPC;(Pfam);CiPC_LIG_1-5;(PLoS_CB_2010)
#=ID;CiPC;(Pfam);CiPC_LIG_1-2;(PLoS_CB_2010)
#=ID;CiPC;(Pfam);CiPC_LIG_1-4;(PLoS_CB_2010)
#=ID;CiPC;(Pfam);CiPC_LIG_1-3;(PLoS_CB_2010)
#=ID;Ku_N;(Pfam);Ku_N_LIG_0-0;(PLoS_CB_2010)
#=ID;Ku_N;(Pfam);Ku_N_LIG_0-5;(PLoS_CB_2010)
#=ID;Ku_N;(Pfam);Ku_N_LIG_0-24;(PLoS_CB_2010)
#=ID;Dpy-30;(Pfam);Dpy-30_LIG_1-0;(PLoS_CB_2010)
#=ID;Med18;(Pfam);Med18_LIG_4-0;(PLoS_CB_2010)
#=ID;JHD;(Pfam);JHD_LIG_1-0;(PLoS_CB_2010)
#=ID;Atg8;(Pfam);Atg8_LIG_0-6;(PLoS_CB_2010)
#=ID;Atg8;(Pfam);Atg8_LIG_0-44;(PLoS_CB_2010)
#=ID;Atg8;(Pfam);Atg8_LIG_0-45;(PLoS_CB_2010)
#=ID;Atg8;(Pfam);Atg8_LIG_0-57;(PLoS_CB_2010)
#=ID;Atg8;(Pfam);Atg8_LIG_0-26;(PLoS_CB_2010)
#=ID;Atg8;(Pfam);Atg8_LIG_0-0;(PLoS_CB_2010)
#=ID;Atg8;(Pfam);Atg8_LIG_0-43;(PLoS_CB_2010)
#=ID;Atg8;(Pfam);Atg8_LIG_0-19;(PLoS_CB_2010)
#=ID;CSN7a_helixI;(Pfam);CSN7a_helixI_LIG_3-0;(PLoS_CB_2010)
#=ID;CSN7a_helixI;(Pfam);CSN7a_helixI_LIG_3-1;(PLoS_CB_2010)
#=ID;DnaJ_C;(Pfam);DnaJ_C_LIG_0-0;(PLoS_CB_2010)
#=ID;MotA_ExbB;(Pfam);MotA_ExbB_LIG_1-0;(PLoS_CB_2010)
#=ID;NO_synthase;(Pfam);NO_synthase_LIG_0-2;(PLoS_CB_2010)
#=ID;NO_synthase;(Pfam);NO_synthase_LIG_0-0;(PLoS_CB_2010)
#=ID;Menin;(Pfam);Menin_LIG_0-10;(PLoS_CB_2010)
#=ID;Menin;(Pfam);Menin_LIG_0-0;(PLoS_CB_2010)
#=ID;Menin;(Pfam);Menin_LIG_0-2;(PLoS_CB_2010)
#=ID;HORMA;(Pfam);HORMA_LIG_1-0;(PLoS_CB_2010)
#=ID;Mob1_phocein;(Pfam);Mob1_phocein_LIG_1-0;(PLoS_CB_2010)
#=ID;Mob1_phocein;(Pfam);Mob1_phocein_LIG_1-5;(PLoS_CB_2010)
#=ID;Rad60-SLD;(Pfam);Rad60-SLD_LIG_0-14;(PLoS_CB_2010)
#=ID;Rad60-SLD;(Pfam);Rad60-SLD_LIG_0-0;(PLoS_CB_2010)
#=ID;Rad60-SLD;(Pfam);Rad60-SLD_LIG_0-5;(PLoS_CB_2010)
#=ID;Bcl-2;(Pfam);Bcl-2_LIG_1-5;(PLoS_CB_2010)
#=ID;Bcl-2;(Pfam);Bcl-2_LIG_1-4;(PLoS_CB_2010)
#=ID;Bcl-2;(Pfam);Bcl-2_LIG_1-1;(PLoS_CB_2010)
#=ID;Bcl-2;(Pfam);Bcl-2_LIG_1-2;(PLoS_CB_2010)
#=ID;Bcl-2;(Pfam);Bcl-2_LIG_1-0;(PLoS_CB_2010)
#=ID;Bcl-2;(Pfam);Bcl-2_LIG_1-7;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_5-0;(PLoS_CB_2010)
#=ID;14-3-3;(Pfam);14-3-3_LIG_5-2;(PLoS_CB_2010)
#=ID;Peptidase_C14;(Pfam);Peptidase_C14_LIG_7-20;(PLoS_CB_2010)
#=ID;Peptidase_C14;(Pfam);Peptidase_C14_LIG_7-0;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-0;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-16;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-26;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-15;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-12;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-1;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-22;(PLoS_CB_2010)
#=ID;PCNA_N;(Pfam);PCNA_N_LIG_0-24;(PLoS_CB_2010)
#=ID;Rep_fac-A_3;(Pfam);Rep_fac-A_3_LIG_0-0;(PLoS_CB_2010)
#=ID;FHA_2;(Pfam);FHA_2_LIG_0-0;(PLoS_CB_2010)
#=ID;FHA_2;(Pfam);FHA_2_LIG_0-5;(PLoS_CB_2010)
#=ID;FHA_2;(Pfam);FHA_2_LIG_0-3;(PLoS_CB_2010)
#=ID;HORMA;(Pfam);HORMA_LIG_0-0;(PLoS_CB_2010)
#=ID;Histone;(Pfam);Histone_LIG_4-0;(PLoS_CB_2010)
#=ID;Histone;(Pfam);Histone_LIG_4-3;(PLoS_CB_2010)
#=ID;Histone;(Pfam);Histone_LIG_4-1;(PLoS_CB_2010)
#=ID;Peptidase_M10;(Pfam);Peptidase_M10_LIG_3-0;(PLoS_CB_2010)
#=ID;Peptidase_M10;(Pfam);Peptidase_M10_LIG_3-54;(PLoS_CB_2010)
#=ID;Peptidase_C14;(Pfam);Peptidase_C14_LIG_0-0;(PLoS_CB_2010)
